group_id,group_name,members_id,members_name
208,Technology,253,2d and 3d Architectural Visualisation
209,Design,254,Design Detail Development
210,Operations,"255,275,276,388","Construction Management, Project Management, Programme Management, Hotel Project Management"
211,Implementation,256,SAN and NAS implementation
212,Technology,257,Data Storage & Data Management Solutions
213,Back,258,Back up and recovery
214,Backend,261,Back-end development
215,Technology,"262,314","Full stack development, Full Stack Data Science"
216,Wireframing,263,Wireframing
217,Responsive,265,Responsive design
218,Hospitality,268,online travel
219,Technology,269,travel writing
220,Hospitality,270,travel inspiration
221,Honeymoons,271,honeymoons
222,Short,272,short breaks
223,Technology,273,Outsourced data management
224,Agile,"278,283","Agile Coaching, Agile"
225,Product,279,Product Development
226,Technology,281,Data Mesh
227,Delivery,282,Delivery
228,Technology,284,Architectural activities
229,Technology,286,Wellness and Fitness Services
230,Employer,287,Employer branding
231,Retail & Shopping,"290,414,478","corporate communications, Communications, marketing communications"
232,Storytelling,291,storytelling
233,Breast,293,Breast
234,Dermatology,294,Dermatology
235,Sports,295,Sports Injury
236,Vascular,296,Vascular
237,Gilmore,297,Gilmore Groin
238,Hernia,298,Hernia
239,Medical & Healthcare,299,Women's Health
240,Rectal,300,Rectal
241,Xray,301,X-ray and Imaging
242,Mammography,302,Mammography
243,Technology,"303,309","Self storage, Storage Units"
244,Packaging,304,Packaging
245,Hire,305,Van hire
246,Storage,306,Storage
247,Boxes,307,Boxes
248,Space,308,Space
249,Technology,"310,315","Data Analytics, Financial Analytics"
250,Technology,311,HR Analytics
251,Transportation,312,Business Analysis
252,Technology,313,Data Engineering
253,Scrum,316,Scrum Master
254,Motion,319,Motion picture production
255,Television,320,Television programme production
256,Technology,322,IT solutions for non-profit or public services
257,Accountants,"323,324","Chartered Accountants, Accountants"
258,Xero,325,Xero Accountants
259,Quickbooks,326,QuickBooks Accountants
260,Operations,327,Payroll Management
261,Technology,328,Making Tax Digital
262,Technology,329,Audit & Assurance
263,Transportation,330,Business Management
264,Corporate,331,Corporate Finance
265,General,332,My on FD
266,Print,336,print
267,Web,"337,346","web, Web apps"
268,Sound,341,Sound
269,Wordpress,"342,345","WordPress, WooCommerce"
270,General,343,PHP
271,Mysql,344,MySQL
272,General,347,Vue
273,React,"348,422","React, React.js"
274,Technology,349,Identity and Access Management
275,Single,350,Single Sign On
276,Technology,351,Entitlement Management and Authorisation
277,Technology,"352,355","Software License Management, Software Licensing"
278,Technology,353,Software Monetization
279,Access,354,Access Control
280,Video,"357,362,363","Video, Music Video, Fashion Video"
281,Services,358,Serviced Offices
282,Office,360,Office Space
283,Unbranded,361,Unbranded Prestgious W1 address
284,Branded,364,Branded Content
285,Commericals,365,Commericals
286,Documentaries,367,Documentaries
287,Ddos,368,DDoS Protected Hosting
288,Managed,"369,372","Managed VPS Hosting, Managed Dedicated Servers"
289,Cpanel,370,cPanel Shared Hosting
290,Reseller,371,Reseller Hosting
291,Semidedicated,373,Semi-Dedicated Hosting
292,Domains,374,and Domains & SSL Certificates
293,Retail & Shopping,"376,379","Wine Branding, Wine Marketing"
294,Food & Beverage,377,Beverage Manufacturing
295,Wine,380,Wine Production
296,Equipment,"381,396","Event production equipment, Event Production"
297,Appliances,382,Appliances
298,Electrical,383,Electrical
299,Electronics,384,Electronics Manufacturing
300,Wholesale,385,Wholesale of electrical household appliances
301,Hospitality,"386,387,389","Group Travel, Hotels for Groups, Tailored Group Stays"
302,Technology,390,Creative use of event technologies
303,Lighting,391,Lighting Hire
304,Sound,392,Sound Hire
305,Operations,394,Stage management
306,Technology,395,Technical Management
307,Equipment,397,Equipment Hire
308,Rigging,398,Rigging Hire
309,Stage,399,Stage Hire
310,Media,"401,402","Online media delivery, Packaged media delivery"
311,Drmprotected,403,DRM-protected downloads
312,Robotics,404,Robotics development
313,Tile,405,Tile grouting robot
314,Education,406,Simulation and reinforcement learning
315,Technology,407,Hardware design iteration
316,Education,410,Micro Learning
317,Operations,412,People Management
318,Appointment,415,Appointment Scheduling
319,Hospitality,416,Online Booking
320,Technology,417,Small Business Software
321,Technology,418,Enterprise Software
322,Html,419,HTML / CSS
323,Javascript,420,JavaScript
324,Operations,421,Content Management
325,General,423,AWS
326,Photography,424,Photography
327,Photography,"425,431","Event photography, Party Photography"
328,Lifestyle,426,Lifestyle photography
329,Commercial,428,Commercial Photography
330,Photography,430,Pet Photography
331,Technology,432,Portrait Photography
332,Prheadshot,433,PR/Headshot Photography
333,Banking,434,banking transformation
334,Core,435,core banking
335,Technology,436,cloud-native
336,Technology,437,digital banking
337,Equipment,438,Single cell tools
338,Equipment,439,Spatial biology tools
339,Technology,440,In situ tools
340,Technology,441,Research and experimental development on biotechnology
341,Technology,442,Early stage technology investment
342,Facilities,443,Company building
343,Private,445,Private debt
344,Advisory,446,Advisory mandates
345,Medical & Healthcare,447,Diagnostics
346,Technology,448,Biotechnology
347,Cervical,449,Cervical Cancer
348,Computational,451,Computational Biology
349,Human,452,Human Papillomavirus
350,Technology,"453,455","MedTech, HealthTech"
351,Technology,454,FemTech
352,Podcasting,"456,457","podcasting, podcasts"
353,Sponsorship,458,sponsorship
354,Patreon,459,patreon
355,Live,"460,507","live, Live Events"
356,Retail & Shopping,461,merchandise
357,Technology,462,Charity
358,Fundraising,463,Fundraising
359,Medical & Healthcare,464,Healthcare
360,Campaigns,465,Campaigns
361,Early,467,EARLY YEARS
362,Childcare,468,CHILDCARE
363,Medical & Healthcare,469,NURSERY
364,Creche,470,CRECHE
365,Eyfs,471,EYFS
366,Personnel,472,STAFFING AGENCY
367,Technology,473,TEMP RECRUITMENT
368,Permanent,474,PERMANENT JOBS
369,Events,475,events
370,Technology,476,fitness
371,General,477,PR
372,Food & Beverage,480,Licensed restaurants
373,Food & Beverage,481,Fine dining
374,Tasting,482,Tasting menus
375,Security & Safety,483,Security Systems installation
376,Security & Safety,484,Security systems service activities
377,Security & Safety,485,Security
378,Investigations,486,Investigations
379,Technology,487,Commercial Locksmiths
380,Technology,488,Auto Locksmiths
381,Technology,489,Safe Engineers
382,Technology,490,Domestic Locksmiths
383,Technology,491,Master Key Suites
384,Media,493,Media
385,Services,494,Creative agency services
386,Journalism,495,Journalism
387,Technology,496,Letting and operating of conference and exhibition centres
388,Filming,503,Filming location hire
389,Postproduction,505,Post-production
390,Technology,506,Editing & Grading
391,Technology,508,Digital/Online Packages
392,Filming,509,Filming - Short/Features
393,Retail & Shopping,511,Luxury Boutique Hotel
394,Hospitality,512,5 Star Hotel
395,Services,513,Excellent Concierge Service
